ip,country_code,region_code,city,zip_code,latitude,longitude,handle,name,last_changed,registration
244.36.171.60,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
81.44.150.240,ES,IB,Sant Francesc de Formentera,07860,38.6638,1.4003,NET-81-0-0-0-1,81-RIPE,2009-03-25,NA
40.82.106.5,NL,NH,Amsterdam,1091,52.35,4.9167,NET-40-74-0-0-1,MSFT,2015-05-27,2015-02-23
216.235.211.155,US,TX,Houston,77042,29.7419,-95.5643,NET-216-235-208-0-1,INTERNET-URSI,2016-02-16,1999-09-22
116.101.14.224,VN,HN,Hanoi,,21.0333,105.85,NET-116-0-0-0-1,APNIC-116,2010-07-30,2007-01-17
34.142.6.33,US,,,,37.751,-97.822,NET-34-0-0-0-1,HALLIBURTON,2016-09-12,1991-03-11
33.33.53.155,US,,,,37.751,-97.822,NET-33-0-0-0-1,DISN-IP-LEGACY,2013-09-11,1991-01-01
186.167.42.67,VE,A,Caracas,,10.5,-66.9168,NET-186-0-0-0-1,LACNIC-186,2010-07-21,2007-09-28
236.220.190.72,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
208.128.240.230,US,MO,Chesterfield,63017,38.65,-90.5334,NET-208-128-0-0-1,SAVVIS,2005-03-21,1996-03-27
123.42.170.221,KR,,,,37.5112,126.9741,NET-123-0-0-0-1,APNIC-123,2010-07-30,2006-01-06
224.171.234.30,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
3.173.155.119,US,CT,Fairfield,06828,41.1412,-73.2637,NET-3-0-0-0-1,GE-INTERNET,2008-03-28,1988-02-23
40.43.195.14,US,,,,37.751,-97.822,NET-40-0-0-0-1,LILLY-NET,2015-02-23,1991-04-23
232.125.33.216,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
31.57.136.230,IR,,,,35.6961,51.4231,NET-31-0-0-0-1,RIPE-31,2010-05-18,NA
222.5.172.196,JP,,,,35.69,139.69,NET-222-0-0-0-1,APNIC8,2010-07-30,2003-02-13
33.238.19.104,US,,,,37.751,-97.822,NET-33-0-0-0-1,DISN-IP-LEGACY,2013-09-11,1991-01-01
142.254.194.243,US,,,,37.751,-97.822,NET-142-254-128-0-1,RRHL,2012-06-15,2012-06-15
124.86.226.223,JP,13,Tokyo,100-0001,35.6427,139.7677,NET-124-0-0-0-1,APNIC-124,2010-07-30,2005-01-27
13.211.237.22,AU,NSW,Sydney,1001,-33.8612,151.1982,NET-13-210-0-0-1,AMAZO-SYD,2017-04-11,2017-04-11
4.44.97.176,US,,,,37.751,-97.822,NET-4-44-0-0-1,LVLT-STATIC-4-44-16,2010-09-28,2010-09-28
203.35.56.248,AU,NSW,Sydney,1001,-33.8612,151.1982,NET-203-0-0-0-1,APNIC-203,2010-08-02,1994-04-05
24.197.112.182,US,NC,Asheville,28806,35.5683,-82.6272,NET-24-197-112-0-1,SPTBG-SC-24-197-112,2003-08-27,2001-09-20
107.73.246.73,US,,,,37.751,-97.822,NET-107-64-0-0-1,ATT-MOBILITY-LLC,2012-03-20,2011-02-04
108.65.14.158,US,,,,37.751,-97.822,NET-108-64-0-0-1,SBCIS-SBIS,2012-03-02,2009-10-29
72.240.178.112,US,OH,Perrysburg,43551,41.5295,-83.5656,NET-72-240-0-0-1,BUCKEYE-CABLESYSTEM,2012-03-02,2005-04-21
59.219.223.23,CN,11,Beijing,,39.9289,116.3883,NET-59-0-0-0-1,APNIC-59,2010-07-30,2004-05-04
61.66.194.204,TW,,Taipei,,25.0418,121.4966,NET-61-0-0-0-1,APNIC3,2010-07-30,1997-04-25
159.129.75.124,US,TX,Irving,75039,32.8795,-96.9398,NET-159-129-0-0-1,NETXOM-159-129-0-0,2003-01-13,1992-04-14
227.73.226.94,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
99.174.36.137,US,,,,37.751,-97.822,NET-99-128-0-0-1,SBCIS-SBIS-6BLK,2013-10-21,2007-08-29
23.5.102.194,NL,NH,Amsterdam,1091,52.35,4.9167,NET-23-5-96-0-1,AIBV,2014-09-12,2014-09-12
41.107.216.31,DZ,,,,36.7642,3.1468,NET-41-0-0-0-1,NET41,2010-11-09,2005-04-12
136.17.123.206,US,MI,Dearborn,48121,42.3223,-83.1763,NET-136-1-0-0-1,FORD-NETS,2015-12-30,1989-08-22
54.153.173.116,AU,NSW,Sydney,1001,-33.8612,151.1982,NET-54-144-0-0-1,AMAZON,2014-11-13,2014-10-23
184.159.117.150,US,,,,37.751,-97.822,NET-184-156-0-0-1,NETBLK-CENTURYTEL16,2012-03-02,2010-06-21
221.88.104.235,JP,40,Kurume,830-0018,33.3167,130.5167,NET-221-0-0-0-1,APNIC7,2010-07-30,NA
14.187.35.51,VN,SG,Ho Chi Minh City,,10.8142,106.6438,NET-14-0-0-0-1,APNIC-14,2010-07-30,2008-01-22
139.169.190.74,US,TX,Houston,77058,29.5672,-95.0925,NET-139-169-0-0-1,JIN,2009-09-22,1990-03-24
65.100.100.42,US,AZ,Tucson,85741,32.3369,-111.0502,NET-65-100-100-40-1,USW-ACCURATESER,2001-04-04,2001-04-04
64.227.30.42,US,FL,Jacksonville,32258,30.1438,-81.5401,NET-64-227-30-0-1,64-227-30-0-NET,2008-08-22,2008-08-22
27.22.236.35,CN,42,Wuhan,,30.5801,114.2734,NET-27-0-0-0-1,APNIC-27,2010-07-30,NA
152.250.216.187,BR,SP,São Paulo,,-23.5733,-46.6417,NET-152-250-0-0-1,LACNIC-ERX-152-250-0-0,2010-11-17,2010-11-03
35.192.211.127,US,CA,Mountain View,94043,37.4192,-122.0574,NET-35-192-0-0-1,GOOGL-2,2017-03-21,2017-03-21
164.242.37.96,US,,,,37.751,-97.822,NET-164-227-0-0-2,DNIC-SUPERBLK1,2011-06-21,2004-04-29
154.54.193.133,US,,,,37.751,-97.822,NET-154-54-0-0-1,COGENT-154-54-16,2011-05-28,1992-02-05
153.162.86.172,JP,13,Hachiōji,193-0931,35.6558,139.3239,NET-153-0-0-0-0,APNIC-ERX-153,2010-07-30,1993-05-01
32.145.242.134,US,,,,37.751,-97.822,NET-32-0-0-0-1,ATT-32-0-0-0-A,2015-02-11,1990-05-30
5.121.83.16,IR,,,,35.6961,51.4231,NET-5-0-0-0-1,RIPE-5,2010-12-13,2010-11-30
241.189.201.17,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
